Physical Review C: Nuclear Physics;Phys. Rev. C
Physical Review D: Particles and Fields;Phys. Rev. D
Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics;Phys. Rev. E
Physical Review Materials;Phys. Rev. Materials
Proceedings of SPIE;SPIE Proc.
Proceedings of the National Academy of Sciences of the United States of America;PNAS
Proceedings of the National academy of Sciences of the United States of America;Proc. Nat. Acad. Sci. U.S.A.
Proceedings of the National Academy of Sciences;Proc. Natl. Acad. Sci.
Proceedings of the Physical Society, London, Section A;Proc. Phys. Soc. London, Sec. A
Proceedings of the Physical Society, London, Section B;Proc. Phys. Soc. London, Sec. B
Proceedings of the Physical Society, London;Proc. Phys. Soc. London
Proceedings of the Physical Society B;Proc. Phys. Soc. B
Proceedings of the Physical Society. Section A;Proc. Phys. Soc. London, Sect. A
Proceedings of the Physical Society. Section B;Proc. Phys. Soc. London, Sect. B
Proceedings of the Physical Society;Proc. Phys. Soc.
Proceedings of the Royal Society of London, Series A: Mathematical and Physical Sciences;Proc. R. Soc. London, Ser. A
Proceedings of the Royal Society of London A;Proc. R. Soc. Lond. Ser. Math. Phys. Sci.
Proceedings of the Royal Society of London A;Proc. R. Soc. Math. Phys. Eng. Sci.
Proceedings of the Royal Society of London Series B;Proc. R. Soc. London, Ser. B
Science in China, Series A: Mathematics;Sci. China, Ser. A: Math.
Science in China, Series C: Life Sciences;Sci. China, Ser. C: Life Sci.
Science in China, Series D: Earth Sciences;Sci. China, Ser. D: Earth Sci.
Science in China, Series G: Physics Mechanics and Astronomy;Sci. China, Ser. G
Quantum Electronics;Quantum Electron. (UK) or Quantum Electron. (USA)
Transactions of the American Geophysical Union;Trans.-Am. Geophys. Union
Zeitschrift für Kristallographie;Z. Für Krist.
Zeitschrift für Kristallographie;Z. für Krist.
Zeitschrift für Physik A: Atoms and Nuclei;Z. Phys. A: Hadrons Nucl.
Zeitschrift für Physik A Hadrons and Nuclei;Z. Phys. A Hadrons Nucl.
Zeitschrift für Physik B Condensed Matter and Quanta;Z. Phys. B Condens. Matter Quanta
Zeitschrift für Physik B Condensed Matter;Z. Phys. B Condens. Matter
Zeitschrift für Physik;Z. Für Phys.
Zeitschrift für Physik;Z. für Phys.
Solar Energy Materials and Solar Cells;Sol. Energ. Mat. Sol.
