2D Materials;2D Mater.
ACAROLOGIA;Acarologia
Access to Justice in Eastern Europe;Access Justice East Eur.
ACCIDENT ANALYSIS AND PREVENTION;Accid. Anal. Prev.
Accion Psicologica;Accion Psicol.
Acciones e Investigaciones Sociales;Acciones Invest. Soc.
Accountability in Research-Policies and Quality Assurance;Account. Res.
ACCOUNTING AND BUSINESS RESEARCH;Account. Bus. Res.
Accounting and Finance;Account . Financ.
Accounting Auditing & Accountability Journal;Account . Audit  Account.
Accounting Economics and Law-A Convivium;Account. Econ. Law
Accounting Education;Account. Educ.
Accounting Forum;Account. Forum
Accounting Historians Journal;Account. Hist. J.
Accounting History;Account. Hist.
Accounting History Review;Account. Hist. Rev.
Accounting Horizons;Account. Horiz.
Accounting in Europe;Account. Eur.
ACCOUNTING ORGANIZATIONS AND SOCIETY;Account. Organ. Soc.
Accounting Perspectives;Account. Perspect.
Accounting Research Journal;Account. Res. J.
ACCOUNTING REVIEW;Account. Rev.
ACCOUNTS OF CHEMICAL RESEARCH;Accounts Chem. Res.
ACCREDITATION AND QUALITY ASSURANCE;Accredit. Qual. Assur.
ACE-Architecture City and Environment;ACE-Archit. City Environ.
Acesso Livre;Acesso Livre
ACG Case Reports Journal;ACG Case Rep. J.
ACI MATERIALS JOURNAL;ACI Mater. J.
ACI STRUCTURAL JOURNAL;ACI Struct. J.
ACM Communications in Computer Algebra;ACM Commun. Comput. Algebr.l
ACM COMPUTING SURVEYS;ACM Comput. Surv.
ACM Journal of Data and Information Quality;ACM J. Data Inf. Qual.
ACM Journal on Computing and Cultural Heritage;ACM J. Comput. Cult. Herit.
ACM Journal on Emerging Technologies in Computing Systems;ACM J. Emerg. Technol. Comput. Syst.
ACM SIGCOMM Computer Communication Review;ACM SIGCOMM Comp. Commun. Rev.
ACM Transactions on Accessible Computing;ACM Trans. Access. Comput.
ACM Transactions on Algorithms;ACM Trans. Algorithms
ACM Transactions on Applied Perception;ACM Trans. Appl. Percept.
ACM Transactions on Architecture and Code Optimization;ACM Trans. Archit. Code Optim.
ACM Transactions on Asian and Low-Resource Language Information Processing;ACM Trans. Asian Low-Resour. Lang. Inf. Process.
ACM Transactions on Autonomous and Adaptive Systems;ACM Trans. Auton. Adapt. Syst.
ACM Transactions on Computation Theory;ACM Trans. Comput. Theory
ACM Transactions on Computational Logic;ACM Trans. Comput. Log.
ACM TRANSACTIONS ON COMPUTER SYSTEMS;ACM Trans. Comput. Syst.
ACM Transactions on Computer-Human Interaction;ACM Trans. Comput.-Hum. Interact.
ACM Transactions on Computing Education;ACM Trans. Comput. Educ.
ACM Transactions on Cyber-Physical Systems;ACM Trans. Cyber-Phys. Syst.
ACM TRANSACTIONS ON DATABASE SYSTEMS;ACM Trans. Database Syst.
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;ACM Transact. Des. Automat. Electron. Syst.
ACM Transactions on Economics and Computation;ACM Trans. Econ. Comput.
ACM Transactions on Embedded Computing Systems;ACM Trans. Embed. Comput. Syst.
ACM TRANSACTIONS ON GRAPHICS;ACM Trans. Graph.
ACM Transactions on Human-Robot Interaction;ACM Trans. Hum.-Robot Interact.
ACM TRANSACTIONS ON INFORMATION SYSTEMS;ACM Trans. Inf. Syst.
ACM Transactions on Intelligent Systems and Technology;ACM Trans. Intell. Syst. Technol.
ACM Transactions on Interactive Intelligent Systems;ACM Trans. Interact. Intell. Syst.
ACM Transactions on Internet Technology;ACM Trans. Internet. Technol.
ACM Transactions on Knowledge Discovery from Data;ACM Trans. Knowl. Discov. Data
ACM Transactions on Management Information Systems;ACM Trans. Manag. Inf. Syst.
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;ACM Trans. Math. Softw.
ACM Transactions on Modeling and Computer Simulation;ACM Trans. Model. Comput. Simul.
ACM Transactions on Modeling and Performance Evaluation of Computing Systems;ACM Trans. Modeling Perform. Eval. Comput. Syst.
ACM Transactions on Multimedia Computing Communications and Applications;ACM Trans. Multimed. Comput. Commun. Appl.
ACM Transactions on Parallel Computing;ACM Trans. Parallel Comput.
ACM Transactions on Privacy and Security;ACM Trans. Priv. Secur.
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;ACM Trans. Program. Lang. Syst.
ACM Transactions on Reconfigurable Technology and Systems;ACM T. Reconfigurable Technol. Syst.
ACM Transactions on Sensor Networks;ACM Trans. Sens. Netw.
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;ACM Trans. Softw. Eng. Methodol.
ACM Transactions on Spatial Algorithms and Systems;ACM Trans. Spat. Algoritm. Syst.
ACM Transactions on Storage;ACM Trans. Storage
ACM Transactions on the Web;ACM Trans. Web
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano;ACME-Ann. Fac. Studi Um. Univ. Studi Milano
ACOUSTICAL PHYSICS;Acoust. Phys.
Acoustical Science and Technology;Acoust. Sci. Technol.
Acoustics Australia;Acoust. Aust.
Acque Sotterranee-Italian Journal of Groundwater;Acque Sotter.
Across Languages and Cultures;Across Lang. Cult.
ACS Applied Electronic Materials;ACS Appl. Electron. Mater.
ACS Applied Energy Materials;ACS Appl. Energ. Mater.
ACS Applied Materials & Interfaces;ACS Appl. Mater. Interfaces
ACS Applied Nano Materials;ACS Appl. Nano Mater.
ACS Applied Polymer Materials;ACS Appl. Polym. Mater.
ACS Biomaterials Science & Engineering;ACS Biomater. Sci. Eng.
ACS Catalysis;ACS Catal.
ACS Central Science;ACS Central Sci.
ACS Chemical Biology;ACS Chem. Biol.
ACS Chemical Health & Safety;ACS Chem. Health Saf.
ACS Chemical Neuroscience;ACS Chem. Neurosci.
ACS Combinatorial Science;ACS Comb. Sci.
ACS Earth and Space Chemistry;ACS  Earth Space Chem.
ACS Energy Letters;ACS Energy Lett.
ACS Infectious Diseases;ACS Infect. Dis.
ACS Macro Letters;ACS Macro Lett.
ACS Materials Letters;ACS Mater. Lett.
ACS Medicinal Chemistry Letters;ACS Med. Chem. Lett.
ACS Nano;ACS Nano
ACS Omega;ACS Omega
ACS Pharmacology & Translational Science;ACS Pharmacol. Transl. Sci.
ACS Photonics;ACS Photonics
ACS Sensors;ACS Sens.
ACS Sustainable Chemistry & Engineering;ACS Sustain. Chem. Eng.
ACS Synthetic Biology;ACS Synth. Biol.
ACSMS HEALTH & FITNESS JOURNAL;ACSMS Health Fit. J.
ACTA ACUSTICA;Acta Acust.
ACTA ACUSTICA UNITED WITH ACUSTICA;Acta Acust. United Acust.
ACTA ADRIATICA;Acta Adriat.
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE;Acta Agric. Scand. Sect. A-Anim. Sci.
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE;Acta Agric. Scand. Sect. B-Soil Plant Sci.
ACTA ALIMENTARIA;Acta Aliment.
ACTA AMAZONICA;ACTA AMAZON.
ACTA ANAESTHESIOLOGICA BELGICA;Acta Anaesthesiol. Belg.
ACTA ANAESTHESIOLOGICA SCANDINAVICA;Acta Anaesthesiol. Scand.
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition;Acta Anal.-Int. Period. Philos. A.
Acta Angiologica;Acta Angiol.
ACTA APPLICANDAE MATHEMATICAE;Acta Appl. Math.
ACTA ARCHAEOLOGICA;Acta Archaeol.
ACTA ARITHMETICA;Acta Arith.
ACTA ASTRONAUTICA;Acta Astronaut.
ACTA ASTRONOMICA;Acta Astron.
Acta Balneologica;Acta Balneol.
Acta Baltico-Slavica;Acta Baltico-Slav.
ACTA BIOCHIMICA ET BIOPHYSICA SINICA;Acta Biochim. Biophys. Sin.
ACTA BIOCHIMICA POLONICA;Acta Biochim. Pol.
Acta Bioclinica;ACTA BIOCLINICA
Acta Bioethica;Acta Bioet.
ACTA BIOLOGICA COLOMBIANA;Acta Biol. Colomb.
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;Acta Biol. Crac. Ser. Bot.
Acta Biomaterialia;Acta Biomater.
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;Acta Bioquim. Clin. Latinoam.
ACTA BIOTHEORETICA;Acta Biotheor.
Acta Borealia;Acta Boreal.
Acta Botanica Brasilica;Acta  Bot. Bras.
ACTA BOTANICA CROATICA;Acta Bot. Croat.
Acta Botanica Mexicana;Acta. Bot. Mex.
Acta Brasiliensis;Acta Bras.
ACTA CARDIOLOGICA;Acta Cardiol.
Acta Cardiologica Sinica;Acta Cardiol. Sin.
ACTA CARSOLOGICA;ACTA CARSOLOGICA
Acta Chemica Iasi;Acta Chem. Iasi
ACTA CHIMICA SINICA;Acta Chim. Sin.
Acta Chimica Slovaca;Acta Chim. Slovaca
ACTA CHIMICA SLOVENICA;Acta Chim. Slov.
ACTA CHIROPTEROLOGICA;Acta Chiropt.
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;Acta Chir. Orthop. Traumatol. Cechoslov.
ACTA CHIRURGICA BELGICA;Acta Chir. Belg.
ACTA CHROMATOGRAPHICA;Acta Chromatogr.
Acta Cirurgica Brasileira;Acta Cir. Bras.
Acta Classica;Acta Class.
ACTA CLINICA BELGICA;Acta Clin. Belg.
Acta Clinica Croatica;Acta Clin. Croat.
Acta Colombiana de Psicologia;Acta Colomb. Psicol.
Acta Crystallographica A-Foundation and Advances;Acta Crystallogr. Sect. A
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials;Acta Crystallogr. Sect. B-Struct. Sci.Cryst. Eng. Mat.
Acta Crystallographica Section C-Structural Chemistry;Acta Crystallogr. Sect. C-Struct. Chem.
Acta Crystallographica Section D-Structural Biology;Acta Crystallogr. Sect. D-Struct. Biol.
Acta Crystallographica Section E-Crystallographic Communications;Acta Crystallogr. Sect. E.-Crystallogr. Commun.
Acta Crystallographica Section F-Structural Biology Communications;Acta Crystallogr. F-Struct. Biol. Commun.
Acta Cybernetica;Acta Cybern.
ACTA CYTOLOGICA;Acta Cytol.
ACTA DERMATO-VENEREOLOGICA;Acta Derm.-Venereol.
Acta Dermatovenerologica Alpina Pannonica et Adriatica;Acta Dermatovenerol. Alp. Pannonica Adriat.
Acta Dermatovenerologica Croatica;Acta Dermatovenerol. Croat.
ACTA DIABETOLOGICA;Acta Diabetol.
Acta Endocrinologica-Bucharest;Acta Endocrinol.
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE;Acta Entomol. Mus. Natl. Pragae
Acta et Commentationes Universitatis Tartuensis de Mathematica;Acta Comment. Univ. Tartu. Math.
ACTA ETHOLOGICA;Acta Ethol.
Acta Facultatis Medicae Naissensis;Acta Fac. Medicae Naiss.
Acta Facultatis Xylologiae Zvolen;Acta Fac.Xylol. Zvolen
ACTA GASTRO-ENTEROLOGICA BELGICA;Acta Gastro-Enterol. Belg.
Acta Geochimica;ACTA GEOCHIM.
Acta Geodaetica et Geophysica;Acta Geod. Geophys.
Acta Geodynamica et Geomaterialia;Acta Geodyn. Geomater.
Acta Geographica Slovenica-Geografski Zbornik;Acta Geogr. Slov.
ACTA GEOLOGICA POLONICA;Acta Geol. Pol.
ACTA GEOLOGICA SINICA-ENGLISH EDITION;Acta Geol. Sin.-Engl. Ed.
Acta Geophysica;Acta Geophys.
Acta Geotechnica;Acta Geotech.
Acta Geotechnica Slovenica;Acta Geotech. Slov.
Acta Germanica-German studies in Africa;Acta Ger.
Acta Gymnica;Acta Gymnica
ACTA HAEMATOLOGICA;Acta Haematol.
Acta Herpetologica;Acta Herpetol.
ACTA HISTOCHEMICA;Acta Histochem.
ACTA HISTOCHEMICA ET CYTOCHEMICA;Acta Histochem. Cytochem.
Acta Historica Tallinnensia;Acta Hist. Tallinensia
Acta Histriae;Acta Histriae
ACTA ICHTHYOLOGICA ET PISCATORIA;Acta Ichthyol. Piscat.
ACTA INFORMATICA;Acta Inform.
Acta Kinesiologica;Acta Kinesiol.
Acta Koreana;Acta Koreana
Acta Linguistica Hungarica;Acta Linguist. Hung.
Acta Literaria;Acta Lit.
ACTA MATERIALIA;Acta Mater.
ACTA MATHEMATICA;Acta Math.
ACTA MATHEMATICA HUNGARICA;Acta Math. Hung.
ACTA MATHEMATICA SCIENTIA;Acta Math. Sci.
ACTA MATHEMATICA SINICA-ENGLISH SERIES;Acta. Math. Sin.-English Ser.
Acta Mathematica Universitatis Comenianae;Acta Math. Univ. Comen.
Acta Mathematica Vietnamica;Acta Math. Vietnam
Acta Mathematicae Applicatae Sinica-English Series;Acta Math. Appl. Sin.-Engl. Ser.
ACTA MECHANICA;Acta Mech.
Acta Mechanica et Automatica;Acta Mech. Automatica
ACTA MECHANICA SINICA;Acta Mech. Sin.
ACTA MECHANICA SOLIDA SINICA;Acta Mech. Solida Sin.
Acta Medica Indonesiana;Acta Med. Indones.
Acta Medica Mediterranea;Acta Medica Mediterr.
ACTA MEDICA OKAYAMA;Acta Med. Okayama
Acta Medica Portuguesa;Acta Medica Port.
Acta Medico-Historica Adriatica;Acta Med.-Hist. Adriat.
ACTA METALLURGICA SINICA;Acta Metall. Sin.
Acta Metallurgica Sinica-English Letters;Acta Metall. Sin.-Engl. Lett.
Acta Metallurgica Slovaca;Acta Metall. Slovaca
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA;Acta Microbiol. Immunol. Hung.
ACTA MISSIOLOGICA;Acta Missiol.
Acta Montanistica Slovaca;Acta. Montan. Slovaca.
ACTA MUSICOLOGICA;Acta Musicol.
Acta Naturae;Acta Naturae
Acta Neophilologica;Acta Neophilol.
ACTA NEUROBIOLOGIAE EXPERIMENTALIS;Acta Neurobiol. Exp.
ACTA NEUROCHIRURGICA;Acta Neurochir.
ACTA NEUROLOGICA BELGICA;Acta Neurol. Belg.
ACTA NEUROLOGICA SCANDINAVICA;Acta Neurol. Scand.
ACTA NEUROPATHOLOGICA;Acta Neuropathol.
Acta Neuropathologica Communications;Acta Neuropathol. Commun.
ACTA NEUROPSYCHIATRICA;Acta Neuropsychiatr.
Acta Neuropsychologica;Acta Neuropsychol.
ACTA NUMERICA;Acta Numer.
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;Acta Obstet. Gynecol. Scand.
ACTA OCEANOLOGICA SINICA;Acta Oceanol. Sin.
ACTA ODONTOLOGICA SCANDINAVICA;Acta Odontol. Scand.
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;Acta Oecol.-Int. J. Ecol.
ACTA OECONOMICA;Acta. Oecon.
Acta of Bioengineering and Biomechanics;Acta Bioeng. Biomech.
ACTA ONCOLOGICA;Acta Oncol.
ACTA OPHTHALMOLOGICA;Acta Ophthalmol.
Acta Orientalia Academiae Scientiarum Hungaricae;Acta Orient. Acad. Sci. Hung.
ACTA ORNITHOLOGICA;Acta Ornithol.
Acta Orthopaedica;Acta Orthop.
Acta Orthopaedica Belgica;Acta Orthop. Belg.
Acta Orthopaedica et Traumatologica Turcica;Acta Orthop. Traumatol. Turc.
Acta Ortopedica Brasileira;Acta Ortop. Bras.
ACTA OTO-LARYNGOLOGICA;Acta Oto-Laryngol.
Acta Oto-Laryngologica Case Reports;Acta Oto-Laryngol. Case Rep.
Acta Otorhinolaryngologica Italica;Acta Otorhinolaryngol. Ital.
Acta Otorrinolaringologica Espanola;Acta Otorrinolaringol. Esp.
ACTA PAEDIATRICA;Acta Paediatr.
ACTA PALAEONTOLOGICA POLONICA;Acta Palaeontol. Pol.
ACTA PARASITOLOGICA;Acta Parasitolog.
Acta Paulista de Enfermagem;Acta Paul. Enferm.
Acta Pediatrica de Mexico;Acta Pediatr. Mex.
ACTA PETROLOGICA SINICA;Acta Petrol. Sin.
ACTA PHARMACEUTICA;Acta Pharm.
Acta Pharmaceutica Sinica B;Acta Pharm. Sin. B
ACTA PHARMACOLOGICA SINICA;Acta Pharmacol. Sin.
Acta Philosophica;Acta Phillos.
Acta Phlebologica;Acta Phlebol.
Acta Photonica Sinica;Acta Photonica Sinica
ACTA PHYSICA POLONICA A;Acta Phys. Pol. A
ACTA PHYSICA POLONICA B;Acta Phys. Pol. B
ACTA PHYSICA SINICA;Acta Phys. Sin.
ACTA PHYSICA SLOVACA;Acta Phys. Slovaca
ACTA PHYSICO-CHIMICA SINICA;Acta Phys.-Chim. Sin.
ACTA PHYSIOLOGIAE PLANTARUM;Acta Physiol. Plant.
Acta Physiologica;Acta Physiol.
Acta Phytotaxonomica et Geobotanica;Acta Phytotaxon. Geobot.
Acta Poetica;Acta Poetica
Acta Politica;Acta Polit.
ACTA POLONIAE HISTORICA;Acta Pol. Hist.
ACTA POLONIAE PHARMACEUTICA;ACTA POL. PHARM.
ACTA POLYMERICA SINICA;Acta Polym. Sin.
Acta Polytechnica;Acta Polytech.
Acta Polytechnica Hungarica;Acta Polytech. Hung.
ACTA PROTOZOOLOGICA;Acta Protozool.
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;Acta Psiquiat. Psicol. Am. Lat.
ACTA PSYCHIATRICA SCANDINAVICA;Acta Psychiatr. Scand.
ACTA PSYCHOLOGICA;Acta Psychol.
ACTA RADIOLOGICA;Acta Radiol.
Acta Radiologica Open;Acta Radiol. Open
Acta Reumatologica Portuguesa;Acta Reumatol. Port.
Acta Scientiae Veterinariae;Acta Sci. Vet.
ACTA SCIENTIARUM MATHEMATICARUM;Acta Sci. Math.
Acta Scientiarum Polonorum-Formatio Circumiectus;Acta Sci. Pol.-Form. Circumiectus
Acta Scientiarum Polonorum-Hortorum Cultus;Acta Sci. Pol.-Hortorum Cultus
Acta Scientiarum Polonorum-Technologia Alimentaria;Acta Sci. Polon.-Technol. Aliment.
ACTA SCIENTIARUM-AGRONOMY;Acta Sci.-Agron.
ACTA SCIENTIARUM-HEALTH SCIENCES;Acta Sci.-Health Sci.
ACTA SCIENTIARUM-TECHNOLOGY;Acta Sci.-Technol.
Acta Silvae et Ligni;Acta Silvae Ligni
ACTA SOCIETATIS BOTANICORUM POLONIAE;Acta Soc. Bot. Pol.
ACTA SOCIOLOGICA;Acta Sociol.
Acta Stomatologica Croatica;Acta Stomatol. Croat.
Acta Structilia;Acta Structilia
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering;Acta Tech. Napoc. Ser.-Appl. Math. Mech. Eng.
Acta Technologica Agriculturae;Acta Technol. Agric.
ACTA TROPICA;Acta Trop.
Acta Turistica;Acta Turistica
Acta Universitatis Sapientiae Informatica;Acta Univ. Sapientiae Inform.
Acta Universitatis Sapientiae-Film and Media Studies;Acta Univ. Sapientiae-Film Media Stud.
Acta Universitatis Sapientiae-Mathematica;Acta Univ. Sapientiae-Math.
ACTA VETERINARIA BRNO;Acta Vet. BRNO
Acta Veterinaria Eurasia;Acta Vet. Eurasia
ACTA VETERINARIA HUNGARICA;Acta Vet. Hung.
ACTA VETERINARIA SCANDINAVICA;Acta Vet. Scand.
ACTA VETERINARIA-BEOGRAD;Acta Vet.-Beogr.
ACTA VIROLOGICA;Acta Virol.
ACTA ZOOLOGICA;Acta Zool.
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE;Acta Zool. Acad. Sci. Hung.
ACTA ZOOLOGICA BULGARICA;Acta Zool. Bulg.
Actas Dermo-Sifiliograficas;Actas Dermo-Sifilogr.
ACTAS ESPANOLAS DE PSIQUIATRIA;Actas Esp. Psiquiatri.
Actas Urologicas Espanolas;Actas Urol. Esp.
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES;Actes Rech. Sci. Soc.
Action Learning;Action Learn.
Action Research;Action Res.
Active and Passive Electronic Components;Act. Passiv. Electron. Compon.
Active Learning in Higher Education;Act. Learn. High. Educ.
Activitas Nervosa Superior Rediviva;Act. Nerv. Super. Rediviva
Activites-Revue Electronique;Activities
Activities Adaptation & Aging;Act. Adapt. Aging
Actualidad Contable Faces;Actual. Contab. Faces
Actualidad Juridica Ambiental;Actual. Jurid. Ambient.
Actualidades en Psicologia;Actual. Psicol.
Actualidades Pedagogicas;Actual. Pedagog.
ACTUALITE ECONOMIQUE;Actual. Econ.
Actualites Pharmaceutiques;Actual. Pharm.
Actualizaciones en Osteologia;Actual. Osteol.
Actuators;Actuators
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH;Acupunct. Electro-Ther. Res.
Acupuncture in Medicine;Acupunct. Med.
Acute and Critical Care;Acute Crit. Care
Acute Medicine & Surgery;Acute Med. Surg.
AD ALTA-Journal of Interdisciplinary Research;AD ALTA-J. Interdiscip. Res.
Ad Hoc & Sensor Wireless Networks;Ad Hoc Sens. Wirl. Netw.
Ad Hoc Networks;Ad Hoc Netw.
AD-minister;AD-minist.
Adalya;Adalya
ADANSONIA;Adansonia
Adaptation-The Journal of Literature on Screen Studies;Adaptation
ADAPTED PHYSICAL ACTIVITY QUARTERLY;Adapt. Phys. Act. Q.
ADAPTIVE BEHAVIOR;Adapt. Behav.
Adaptive Human Behavior and Physiology;Adapt. Hum. Behav. Physiol.
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal;ADCAIJ-Adv. Distrib. Computing Artif. Intell. J.
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion;AdComunica
Addicta-The Turkish Journal on Addictions;Addicta
ADDICTION;Addiction
ADDICTION BIOLOGY;Addict. Biol.
ADDICTION RESEARCH & THEORY;Addict. Res. Theory
Addiction Science & Clinical Practice;Addict. Sci. Clin. Pract.
ADDICTIVE BEHAVIORS;Addict. Behav.
Addictive Disorders & Their Treatment;Addict. Disord. Treat.
Additive Manufacturing;Addit. Manuf.
Adelaide Law Review;Adel. Law Rev.
Adeptus;Adeptus
Adicciones;Adicciones
Adipocyte;Adipocyte
ADMET and DMPK;ADMET DMPK
Administracao Publica e Gestao Social;Adm. Publica Gest. Soc.
Administracao-Ensino e Pesquisa;Administracao
Administration;Administration
ADMINISTRATION & SOCIETY;Adm. Soc.
Administration and Policy in Mental Health and Mental Health Services Research;Adm. Policy. Ment. Health
ADMINISTRATIVE LAW REVIEW;Adm. Law Rev.
ADMINISTRATIVE SCIENCE QUARTERLY;Adm. Sci. Q.
Administrative Sciences;Adm. Sci.
Adolescent Health Medicine and Therapeutics;ADOLESC. HEALTH MED. THER.
Adolescent Psychiatry;Adolesc. Psychiatry
Adolescent Research Review;Adolesc. Res. Rev.
Adoption and Fostering;Adopt. Foster.
Adoption Quarterly;Adopt. Q.
ADSORPTION SCIENCE & TECHNOLOGY;Adsorpt. Sci. Technol.
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY;Adsorpt.-J. Int. Adsorpt. Soc.
ADULT EDUCATION QUARTERLY;Adult Educ. Q.
Adult Learning;Adult Learn.
Adultspan Journal;Adultspan J.
Advanced Biomedical Engineering;Adv. Biomed. Eng.
ADVANCED COMPOSITE MATERIALS;Adv. Compos. Mater.
Advanced Composites and Hybrid Materials;Adv. Compos. Hybrid Mater.
ADVANCED COMPOSITES LETTERS;Adv. Compos. Lett.
ADVANCED DRUG DELIVERY REVIEWS;Adv. Drug Deliv. Rev.
Advanced Education;Adv. Educ.
Advanced Electromagnetics;Adv. Electromagn.
Advanced Electronic Materials;Adv. Electron. Mater.
Advanced Emergency Nursing Journal;Adv. Emerg. Nurs. J.
Advanced Energy Materials;Adv. Energy Mater.
ADVANCED ENGINEERING INFORMATICS;Adv. Eng. Inform.
ADVANCED ENGINEERING MATERIALS;Adv. Eng. Mater.
ADVANCED FUNCTIONAL MATERIALS;Adv. Funct. Mater.
Advanced Healthcare Materials;Adv. Healthc. Mater.
Advanced Journal of Emergency Medicine;Adv. J. Emerg. Med.
Advanced Manufacturing-Polymer & Composites Science;Adv. Manuf.-Polym. Compos. Sci.
ADVANCED MATERIALS;Adv. Mater.
ADVANCED MATERIALS & PROCESSES;Adv. Mater. Process.
Advanced Materials Interfaces;Adv. Mater. Interfaces
Advanced Materials Technologies;Adv. Mater. Technol.
ADVANCED NONLINEAR STUDIES;Adv. Nonlinear Stud.
Advanced Optical Materials;Adv. Opt. Mater.
Advanced Optical Technologies;Adv. Opt. Technol.
Advanced Pharmaceutical Bulletin;Adv. Pharm. Bull.
ADVANCED POWDER TECHNOLOGY;Adv. Powder Technol.
Advanced Quantum Technologies;Adv. Quantum Technol.
ADVANCED ROBOTICS;Adv. Robot.
Advanced Science;Adv. Sci.
Advanced Steel Construction;Adv. Steel Constr.
Advanced Sustainable Systems;Adv. Sustain. Syst.
ADVANCED SYNTHESIS & CATALYSIS;Adv. Synth. Catal.
Advanced Theory and Simulations;Adv. Theory Simul.
Advanced Therapeutics;Adv. Therap.
Advancements in Life Sciences;Advan. Life Sci.
Advancements of Microbiology;Adv. Microbiol
Advances and Applications in Discrete Mathematics;Adv. Appl. Discret. Math.
Advances and Applications in Mathematical Sciences;Adv. Appl. Math. Sci.
Advances and Applications in Statistics;Adv. Appl. Stat.
Advances in Accounting;Adv. Account.
Advances in Acoustics and Vibration;Adv. Acous. Vib.
Advances in Agronomy;Adv. Agron.
Advances in Aircraft and Spacecraft Science;Adv. Aircr. Spacecr. Sci.
ADVANCES IN ANATOMIC PATHOLOGY;Adv. Anat. Pathol.
